"","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate"
"315",315,71,-122.9356,43.7062,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.738827275989,560.292894744142,10.8229162655487,1,6.32845967332742,2.38166576256948,0,NA,1,0
"316",316,72,-122.9297,43.6915,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.5491249442971,554.721469849854,10.8176725029326,1,6.31846613164811,2.38118113964403,0,NA,1,0
"317",317,73,-122.9292,43.7037,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.6649725725433,558.247345008301,10.8284222383957,1,6.32480213479011,2.38217436604124,0,NA,1,0
"318",318,74,-122.9288,43.7362,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.9655453687261,566.921193097656,10.856035510704,1,6.3402203048221,2.38472119359428,0,NA,1,0
"319",319,75,-122.916,43.6776,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.3303934370105,548.171208579102,10.8213279761505,1,6.30658766256809,2.38151899935767,0,NA,1,0
"320",320,76,-122.8992,43.6943,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.4114372904021,550.084954905761,10.8552373100014,1,6.31007272976328,2.38464766490625,0,NA,1,0
"321",321,77,-122.673,37.931,630,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Grassland",NA,12.5400500659943,530.794208496089,9.14804434100724,1,6.27437439150194,2.21354012321998,0,NA,1,0
"322",322,78,-122.673,37.931,370,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Grassland",NA,12.5400500659943,530.794208496089,9.14804434100724,1,6.27437439150194,2.21354012321998,0,NA,1,0
"323",323,79,-122.6,44.68,1115,NA,2404,0.463810316139767,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",9.46858028471475,512.988273620607,11.5899998664857,1,6.24025298647015,2.45014264583187,0,NA,1,0
"324",324,80,-122.524,37.862,540,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Grassland",NA,13.2802106956482,552.390382080082,8.83778219262696,1,6.31425501023237,2.1790359619861,0,NA,1,0
