"","X","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate","Elevation","pH","sand","logitBPE","vpd_12","lnvpd_12","g_ppfd","lng_ppfd","MAT","MTCO"
"165",179,179,179,-84.28,35.95,788,83,1885,0.418037135278515,"Collalti 2020, Nature","deciduous","Forest","Quercus alba, Quercus prinus, Acer rubrum",15.1662659933169,777.693392944334,10.3871999282837,1,6.65633235002939,2.34057427199378,0,4.4188406077966,1,0,0.245,5.49582908173532,30.2496220045984,-0.330836370417349,777.693392944334,6.65633235002939,31.3118793328603,3.44399755694357,15.1662659933169,3.64888294935221
"166",180,180,180,-84.17,35.57,944,55,1725,0.547246376811594,"Collalti 2020, Nature","deciduous","Forest","Quercus alba, Quercus pinus, Carya ovata",15.7347254701456,825.823947753908,10.3919999313354,1,6.71638161249132,2.34103627276086,0,4.00733318523247,1,0,NA,4.81501497810809,28.0171350385024,0.189551016305814,825.823947753908,6.71638161249132,31.8302760291099,3.46041791323598,15.7347254701456,4.41074018001558
"167",181,181,181,11.48,42.22,1312,3,2230,0.588340807174888,"Collalti 2020, Nature","deciduous","Forest","Populus alba",NA,NA,8.8591277885437,NA,NA,2.18144831604013,NA,1.09861228866811,NA,NA,0.15,NA,NA,0.357110578883544,792.391955566406,6.67505616278701,NA,NA,NA,NA
"168",182,182,182,11.48,42.22,1691,3,2377,0.71140092553639,"Collalti 2020, Nature","deciduous","Forest","Populus x euramericana",NA,NA,8.8591277885437,NA,NA,2.18144831604013,NA,1.09861228866811,NA,NA,0.15,NA,NA,0.902197721172693,792.391955566406,6.67505616278701,NA,NA,NA,NA
"169",183,183,183,11.48,42.22,1710,3,2424,0.705445544554455,"Collalti 2020, Nature","deciduous","Forest","Populus nigra",NA,NA,8.8591277885437,NA,NA,2.18144831604013,NA,1.09861228866811,NA,NA,0.15,NA,NA,0.873365687157119,792.391955566406,6.67505616278701,NA,NA,NA,NA
"170",184,184,184,11.48,42.22,1987,3,2698,0.736471460340993,"Collalti 2020, Nature","deciduous","Forest","Populus nigra",NA,NA,8.8591277885437,NA,NA,2.18144831604013,NA,1.09861228866811,NA,NA,0.15,NA,NA,1.02770881274857,792.391955566406,6.67505616278701,NA,NA,NA,NA
"171",185,185,185,11.48,42.22,1331,3,1965,0.67735368956743,"Collalti 2020, Nature","deciduous","Forest","Populus x euramericana",NA,NA,8.8591277885437,NA,NA,2.18144831604013,NA,1.09861228866811,NA,NA,0.15,NA,NA,0.741636863957886,792.391955566406,6.67505616278701,NA,NA,NA,NA
"172",186,186,186,11.48,42.22,1685,3,2563,0.657432696059306,"Collalti 2020, Nature","deciduous","Forest","Populus alba",NA,NA,8.8591277885437,NA,NA,2.18144831604013,NA,1.09861228866811,NA,NA,0.15,NA,NA,0.651874249151348,792.391955566406,6.67505616278701,NA,NA,NA,NA
"173",187,187,187,79.05,35.58,1032,13,2002,0.515484515484515,"Collalti 2020, Nature","deciduous","Forest","Liquidambar styraciflua",2.46149053573604,306.319544982909,9,0.16986301369863,5.72462882173737,2.19722457733622,-1.7727629685374,2.56494935746154,0.175342465753425,-1.74101427022282,0.23,7.5,27.879491995597,0.0619578745440777,159.442998504638,5.07168648220435,51.9769311904908,3.950799989196,-10.1152962977687,-22.6788883209228
"174",188,188,188,79.05,35.58,1198,13,2438,0.491386382280558,"Collalti 2020, Nature","deciduous","Forest","Liquidambar styraciflua",2.46149053573604,306.319544982909,9,0.16986301369863,5.72462882173737,2.19722457733622,-1.7727629685374,2.56494935746154,0.175342465753425,-1.74101427022282,0.23,7.5,27.879491995597,-0.0344578799236874,159.442998504638,5.07168648220435,51.9769311904908,3.950799989196,-10.1152962977687,-22.6788883209228
"175",189,189,189,-79.05,35.58,705,15,2371,0.297342893293969,"Collalti 2020, Nature","evergreen","Forest","Pinus taeda",16.3606671730677,860.767544555663,10.3894223899841,1,6.75782448488127,2.3407882106865,0,2.70805020110221,1,0,0.168,5.5,29.3842022245924,-0.859983019914518,860.767544555663,6.75782448488127,32.1349150498708,3.46994313528065,16.3606671730677,5.39559621810912
"176",190,190,190,-79.05,35.58,897,15,2805,0.319786096256684,"Collalti 2020, Nature","evergreen","Forest","Pinus taeda",16.3606671730677,860.767544555663,10.3894223899841,1,6.75782448488127,2.3407882106865,0,2.70805020110221,1,0,0.168,5.5,29.3842022245924,-0.754754989949438,860.767544555663,6.75782448488127,32.1349150498708,3.46994313528065,16.3606671730677,5.39559621810912
"177",191,191,191,-79.05,35.58,899,15,2140,0.420093457943925,"Collalti 2020, Nature","evergreen","Forest","Pinus taeda",16.3606671730677,860.767544555663,10.3894223899841,1,6.75782448488127,2.3407882106865,0,2.70805020110221,1,0,0.168,5.5,29.3842022245924,-0.322389750732988,860.767544555663,6.75782448488127,32.1349150498708,3.46994313528065,16.3606671730677,5.39559621810912
"178",192,192,192,-79.05,35.58,1117,15,2899,0.385305277681959,"Collalti 2020, Nature","evergreen","Forest","Pinus taeda",16.3606671730677,860.767544555663,10.3894223899841,1,6.75782448488127,2.3407882106865,0,2.70805020110221,1,0,0.168,5.5,29.3842022245924,-0.467089808961555,860.767544555663,6.75782448488127,32.1349150498708,3.46994313528065,16.3606671730677,5.39559621810912
"179",194,194,194,-79.12,34.48,NA,8,1795,0.66,"Collalti 2020, Nature","evergreen","Forest","Pinus taeda",17.3247824589411,891.96057800293,10.6700179775238,1,6.7934219365394,2.36743775017858,0,2.07944154167984,1,0,0.014,4.9,54.3916354263701,0.663294217410264,891.96057800293,6.7934219365394,32.74449461778,3.48873484467643,17.3247824589411,6.9709251976013
